"filename", "language", "Dart", "comment", "blank", "total"
"c:\Vera\coolapp\lib\globals.dart", "Dart", 44, 0, 3, 47
"c:\Vera\coolapp\lib\main.dart", "Dart", 68, 11, 8, 87
"c:\Vera\coolapp\lib\services\auth_service.dart", "Dart", 233, 1, 37, 271
"c:\Vera\coolapp\lib\views\pages\about_this_app\about_this_app_page.dart", "Dart", 9, 0, 3, 12
"c:\Vera\coolapp\lib\views\pages\help_page\help_page.dart", "Dart", 9, 0, 3, 12
"c:\Vera\coolapp\lib\views\pages\home\home_page.dart", "Dart", 428, 23, 26, 477
"c:\Vera\coolapp\lib\views\pages\profile_page\profile_page.dart", "Dart", 338, 2, 20, 360
"c:\Vera\coolapp\lib\views\pages\videos\free_videos.dart", "Dart", 8, 0, 3, 11
"c:\Vera\coolapp\lib\views\pages\videos\locked_page.dart", "Dart", 62, 2, 5, 69
"c:\Vera\coolapp\lib\views\pages\videos\not_logged_in.dart", "Dart", 74, 2, 5, 81
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ap_physics_1.dart", "Dart", 225, 2, 6, 233
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ap_physics_2.dart", "Dart", 216, 2, 7, 225
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\grade_11_physics.dart", "Dart", 213, 2, 7, 222
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\grade_12_physics.dart", "Dart", 209, 2, 7, 218
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ib_physics_hl.dart", "Dart", 222, 2, 7, 231
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\electricity_and_magnetism.dart", "Dart", 211, 2, 8, 221
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\intro_to_physics.dart", "Dart", 182, 2, 7, 191
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\kinematics.dart", "Dart", 204, 2, 7, 213
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\momentum_and_collisions.dart", "Dart", 205, 2, 7, 214
"c:\Vera\coolapp\lib\views\pages\videos\video_pages\courses_page.dart", "Dart", 245, 1, 13, 259
"c:\Vera\coolapp\lib\views\pages\videos\video_pages\topics_page.dart", "Dart", 236, 1, 14, 251
"c:\Vera\coolapp\lib\views\pages\videos\video_player.dart", "Dart", 211, 12, 22, 245
"c:\Vera\coolapp\lib\views\widget_tree.dart", "Dart", 147, 7, 10, 164
"Total", "-", 3999, 80, 235, 4314
